price,property description,number of bedrooms,number of bathrooms,Location,estate agency
"N26,500,000",Newly Built 2 & 3 Bedroom Flat Apartments in Surulere,4,4,"Off Brown Road, Aguda , Surulere",Choice Property
"N65,000,000","Luxury 3 Bedroom Flat with Maid's Room, AC, Fitted Kitchen Along Water Corporation Drive, Oniru",3,4,"Along Water Corporation Drive Off Ligali Ayorinde Street, Oniru, Victoria Island",Deluxe Residences Ltd
"N25,000,000",Newly Built 2 Bedroom Apartments,2,2,"Orchid Road, Chevron Drive, Lekki",JOA Homes
"N60,000,000",3 Bedroom Apartment With Bq,3,4,"The Dream Place, Lekki Phase 1, Lekki",
"N48,000,000",A 3 bedroom apartment,3,3,"Ikate, Ikate Elegushi, Lekki",Underwood Homes
"N685,000,000",Prime Property For Sale,4,5,"Bourdillon , Ikoyi",Imperial Facilities Limited
"N25,000,000","Luxury and fully serviced 1 Bedroom Flat(Mini Flat), Gym, Generator and uniformed security located in Surulere",1,1,Surulere,Loyalty Property
"N27,000,000",Lovely 2 Bedroom Apartment,2,2,"Tlantic Layout Estate, Ajiwe By Abraham Adesanya , Abraham Adesanya, Ajah",Teewhy Properties
"N23,500,000",Xmas Promo 2 Bedroom Apartment With Bq,2,2,"Abijo, Ajah",Teewhy Properties
"N35,000,000",Luxury finished 3 Bedroom Flat,3,3,Gbagada,Loyalty Property
"N68,000,000",3 Bedroom Penthouse @ Cadogan Estate,3,3,"Osapa, Lekki",Individual Listing
"N38,500,000",Spacious 3 Bedroom Flat,3,3,"Megamound, Ikota, Lekki",Imond Global Nigeria Limited
"N40,000,000","Units Of 2,3 And 4 Bedroom Apartments",2,2,"Ikate, Ikate Elegushi, Lekki",Teewhy Properties
"N25,000,000",Luxury 1 Bedroom Serviced Flat in Surulere,1,2,"Adelabu By Marsha Roundabout , Surulere",Maxville Investment Inc
"N45,000,000",Luxury 3 Bedroom Flat Apartment,3,3,"Elegushi, Ikate Elegushi, Lekki",Imond Global Nigeria Limited
"N400,000,000",Upscale 4 Bedroom Pent House,4,4,"Bourdillon, Ikoyi",CWRE Lagos
"N38,000,000",Newly built and serviced 6 units of tastefully finished 3bedroom ensuite flats,3,3,"Canal West Estate, Osapa, Lekki",Tgeemax Services Ltd
"N20,000,000",Spacious 2 bedroom flat in a secure estate in Ajah lekki,2,2,Ajah,Orangedove Properties Ltd
"N180,000,000",Brand new 4 bedrooms penthouse & 3 bedrooms serviced apartments,4,4,"Lekki Phase 1, Lekki",Icebridge Homes
"N42,000,000","Apple Place Apartments, Lekki",3,3,"Beside Pinnock Estate (Opp. Aperton Residences), Agungi, Lekki",Prindex Properties
